#?PETBL/1.0
## name KS X 1001-1992 (GL encoding)
#?o table-name="ksx1001_1992"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="C"
0x234D	U+004D		# LATIN CAPITAL LETTER M
0x234E	U+004E		# LATIN CAPITAL LETTER N
0x234F	U+004F		# LATIN CAPITAL LETTER O
0x2350	U+0050		# LATIN CAPITAL LETTER P
0x2351	U+0051		# LATIN CAPITAL LETTER Q
0x2352	U+0052		# LATIN CAPITAL LETTER R
0x2353	U+0053		# LATIN CAPITAL LETTER S
0x2354	U+0054		# LATIN CAPITAL LETTER T
0x2355	U+0055		# LATIN CAPITAL LETTER U
0x2356	U+0056		# LATIN CAPITAL LETTER V
0x2357	U+0057		# LATIN CAPITAL LETTER W
0x2358	U+0058		# LATIN CAPITAL LETTER X
0x2359	U+0059		# LATIN CAPITAL LETTER Y
0x235A	U+005A		# LATIN CAPITAL LETTER Z
0x235B	U+005B		# LEFT SQUARE BRACKET
0x235C	U+20A9		# WON SIGN
0x235D	U+005D		# RIGHT SQUARE BRACKET
0x235E	U+005E		# CIRCUMFLEX ACCENT
0x235F	U+005F		# LOW LINE
0x2360	U+0060		# GRAVE ACCENT
0x2361	U+0061		# LATIN SMALL LETTER A
0x2362	U+0062		# LATIN SMALL LETTER B
0x2363	U+0063		# LATIN SMALL LETTER C
0x2364	U+0064		# LATIN SMALL LETTER D
0x2365	U+0065		# LATIN SMALL LETTER E
0x2366	U+0066		# LATIN SMALL LETTER F
0x2367	U+0067		# LATIN SMALL LETTER G
0x2368	U+0068		# LATIN SMALL LETTER H
0x2369	U+0069		# LATIN SMALL LETTER I
0x236A	U+006A		# LATIN SMALL LETTER J
0x236B	U+006B		# LATIN SMALL LETTER K
0x236C	U+006C		# LATIN SMALL LETTER L
0x236D	U+006D		# LATIN SMALL LETTER M
0x236E	U+006E		# LATIN SMALL LETTER N
0x236F	U+006F		# LATIN SMALL LETTER O
0x2370	U+0070		# LATIN SMALL LETTER P
0x2371	U+0071		# LATIN SMALL LETTER Q
0x2372	U+0072		# LATIN SMALL LETTER R
0x2373	U+0073		# LATIN SMALL LETTER S
0x2374	U+0074		# LATIN SMALL LETTER T
0x2375	U+0075		# LATIN SMALL LETTER U
0x2376	U+0076		# LATIN SMALL LETTER V
0x2377	U+0077		# LATIN SMALL LETTER W
0x2378	U+0078		# LATIN SMALL LETTER X
0x2379	U+0079		# LATIN SMALL LETTER Y
0x237A	U+007A		# LATIN SMALL LETTER Z
0x237B	U+007B		# LEFT CURLY BRACKET
0x237C	U+007C		# VERTICAL LINE
0x237D	U+007D		# RIGHT CURLY BRACKET
0x237E	U+203E		# OVERLINE
0x2421	U+3131		# HANGUL LETTER KIYEOK
0x2422	U+3132		# HANGUL LETTER SSANGKIYEOK
0x2423	U+3133		# HANGUL LETTER KIYEOK-SIOS
0x2424	U+3134		# HANGUL LETTER NIEUN
0x2425	U+3135		# HANGUL LETTER NIEUN-CIEUC
0x2426	U+3136		# HANGUL LETTER NIEUN-HIEUH
0x2427	U+3137		# HANGUL LETTER TIKEUT
0x2428	U+3138		# HANGUL LETTER SSANGTIKEUT
0x2429	U+3139		# HANGUL LETTER RIEUL
0x242A	U+313A		# HANGUL LETTER RIEUL-KIYEOK
0x242B	U+313B		# HANGUL LETTER RIEUL-MIEUM
0x242C	U+313C		# HANGUL LETTER RIEUL-PIEUP
0x242D	U+313D		# HANGUL LETTER RIEUL-SIOS
0x242E	U+313E		# HANGUL LETTER RIEUL-THIEUTH
0x242F	U+313F		# HANGUL LETTER RIEUL-PHIEUPH
0x2430	U+3140		# HANGUL LETTER RIEUL-HIEUH
0x2431	U+3141		# HANGUL LETTER MIEUM
0x2432	U+3142		# HANGUL LETTER PIEUP
0x2433	U+3143		# HANGUL LETTER SSANGPIEUP
0x2434	U+3144		# HANGUL LETTER PIEUP-SIOS
0x2435	U+3145		# HANGUL LETTER SIOS
0x2436	U+3146		# HANGUL LETTER SSANGSIOS
0x2437	U+3147		# HANGUL LETTER IEUNG
0x2438	U+3148		# HANGUL LETTER CIEUC
0x2439	U+3149		# HANGUL LETTER SSANGCIEUC
0x243A	U+314A		# HANGUL LETTER CHIEUCH
0x243B	U+314B		# HANGUL LETTER KHIEUKH
0x243C	U+314C		# HANGUL LETTER THIEUTH
0x243D	U+314D		# HANGUL LETTER PHIEUPH
0x243E	U+314E		# HANGUL LETTER HIEUH
0x243F	U+314F		# HANGUL LETTER A
0x2440	U+3150		# HANGUL LETTER AE
0x2441	U+3151		# HANGUL LETTER YA
0x2442	U+3152		# HANGUL LETTER YAE
0x2443	U+3153		# HANGUL LETTER EO
0x2444	U+3154		# HANGUL LETTER E
0x2445	U+3155		# HANGUL LETTER YEO
0x2446	U+3156		# HANGUL LETTER YE
0x2447	U+3157		# HANGUL LETTER O
0x2448	U+3158		# HANGUL LETTER WA
0x2449	U+3159		# HANGUL LETTER WAE
0x244A	U+315A		# HANGUL LETTER OE
0x244B	U+315B		# HANGUL LETTER YO
0x244C	U+315C		# HANGUL LETTER U
0x244D	U+315D		# HANGUL LETTER WEO
0x244E	U+315E		# HANGUL LETTER WE
0x244F	U+315F		# HANGUL LETTER WI
0x2450	U+3160		# HANGUL LETTER YU
0x2451	U+3161		# HANGUL LETTER EU
0x2452	U+3162		# HANGUL LETTER YI
0x2453	U+3163		# HANGUL LETTER I
0x2454	U+3164		# HANGUL FILLER
0x2455	U+3165		# HANGUL LETTER SSANGNIEUN
0x2456	U+3166		# HANGUL LETTER NIEUN-TIKEUT
0x2457	U+3167		# HANGUL LETTER NIEUN-SIOS
0x2458	U+3168		# HANGUL LETTER NIEUN-PANSIOS
