#?PETBL/1.0
## name	JIS X 0208-1983 (used with ISO/IEC 646:1991 IRV) (GL encoding)
#?o table-name="jisx0208_1983_irv"
#?o charset-chars="94"
#?o charset-dimension="2"
#?o charset-final-byte="B"
0x2533	U+30B3		# KATAKANA LETTER KO
0x2534	U+30B4		# KATAKANA LETTER GO
0x2535	U+30B5		# KATAKANA LETTER SA
0x2536	U+30B6		# KATAKANA LETTER ZA
0x2537	U+30B7		# KATAKANA LETTER SI
0x2538	U+30B8		# KATAKANA LETTER ZI
0x2539	U+30B9		# KATAKANA LETTER SU
0x253A	U+30BA		# KATAKANA LETTER ZU
0x253B	U+30BB		# KATAKANA LETTER SE
0x253C	U+30BC		# KATAKANA LETTER ZE
0x253D	U+30BD		# KATAKANA LETTER SO
0x253E	U+30BE		# KATAKANA LETTER ZO
0x253F	U+30BF		# KATAKANA LETTER TA
0x2540	U+30C0		# KATAKANA LETTER DA
0x2541	U+30C1		# KATAKANA LETTER TI
0x2542	U+30C2		# KATAKANA LETTER DI
0x2543	U+30C3		# KATAKANA LETTER SMALL TU
0x2544	U+30C4		# KATAKANA LETTER TU
0x2545	U+30C5		# KATAKANA LETTER DU
0x2546	U+30C6		# KATAKANA LETTER TE
0x2547	U+30C7		# KATAKANA LETTER DE
0x2548	U+30C8		# KATAKANA LETTER TO
0x2549	U+30C9		# KATAKANA LETTER DO
0x254A	U+30CA		# KATAKANA LETTER NA
0x254B	U+30CB		# KATAKANA LETTER NI
0x254C	U+30CC		# KATAKANA LETTER NU
0x254D	U+30CD		# KATAKANA LETTER NE
0x254E	U+30CE		# KATAKANA LETTER NO
0x254F	U+30CF		# KATAKANA LETTER HA
0x2550	U+30D0		# KATAKANA LETTER BA
0x2551	U+30D1		# KATAKANA LETTER PA
0x2552	U+30D2		# KATAKANA LETTER HI
0x2553	U+30D3		# KATAKANA LETTER BI
0x2554	U+30D4		# KATAKANA LETTER PI
0x2555	U+30D5		# KATAKANA LETTER HU
0x2556	U+30D6		# KATAKANA LETTER BU
0x2557	U+30D7		# KATAKANA LETTER PU
0x2558	U+30D8		# KATAKANA LETTER HE
0x2559	U+30D9		# KATAKANA LETTER BE
0x255A	U+30DA		# KATAKANA LETTER PE
0x255B	U+30DB		# KATAKANA LETTER HO
0x255C	U+30DC		# KATAKANA LETTER BO
0x255D	U+30DD		# KATAKANA LETTER PO
0x255E	U+30DE		# KATAKANA LETTER MA
0x255F	U+30DF		# KATAKANA LETTER MI
0x2560	U+30E0		# KATAKANA LETTER MU
0x2561	U+30E1		# KATAKANA LETTER ME
0x2562	U+30E2		# KATAKANA LETTER MO
0x2563	U+30E3		# KATAKANA LETTER SMALL YA
0x2564	U+30E4		# KATAKANA LETTER YA
0x2565	U+30E5		# KATAKANA LETTER SMALL YU
0x2566	U+30E6		# KATAKANA LETTER YU
0x2567	U+30E7		# KATAKANA LETTER SMALL YO
0x2568	U+30E8		# KATAKANA LETTER YO
0x2569	U+30E9		# KATAKANA LETTER RA
0x256A	U+30EA		# KATAKANA LETTER RI
0x256B	U+30EB		# KATAKANA LETTER RU
0x256C	U+30EC		# KATAKANA LETTER RE
0x256D	U+30ED		# KATAKANA LETTER RO
0x256E	U+30EE		# KATAKANA LETTER SMALL WA
0x256F	U+30EF		# KATAKANA LETTER WA
0x2570	U+30F0		# KATAKANA LETTER WI
0x2571	U+30F1		# KATAKANA LETTER WE
0x2572	U+30F2		# KATAKANA LETTER WO
0x2573	U+30F3		# KATAKANA LETTER N
0x2574	U+30F4		# KATAKANA LETTER VU
0x2575	U+30F5		# KATAKANA LETTER SMALL KA
0x2576	U+30F6		# KATAKANA LETTER SMALL KE
0x2621	U+0391		# GREEK CAPITAL LETTER ALPHA
0x2622	U+0392		# GREEK CAPITAL LETTER BETA
0x2623	U+0393		# GREEK CAPITAL LETTER GAMMA
0x2624	U+0394		# GREEK CAPITAL LETTER DELTA
0x2625	U+0395		# GREEK CAPITAL LETTER EPSILON
0x2626	U+0396		# GREEK CAPITAL LETTER ZETA
0x2627	U+0397		# GREEK CAPITAL LETTER ETA
0x2628	U+0398		# GREEK CAPITAL LETTER THETA
0x2629	U+0399		# GREEK CAPITAL LETTER IOTA
0x262A	U+039A		# GREEK CAPITAL LETTER KAPPA
0x262B	U+039B		# GREEK CAPITAL LETTER LAMDA
0x262C	U+039C		# GREEK CAPITAL LETTER MU
0x262D	U+039D		# GREEK CAPITAL LETTER NU
0x262E	U+039E		# GREEK CAPITAL LETTER XI
0x262F	U+039F		# GREEK CAPITAL LETTER OMICRON
0x2630	U+03A0		# GREEK CAPITAL LETTER PI
0x2631	U+03A1		# GREEK CAPITAL LETTER RHO
0x2632	U+03A3		# GREEK CAPITAL LETTER SIGMA
0x2633	U+03A4		# GREEK CAPITAL LETTER TAU
0x2634	U+03A5		# GREEK CAPITAL LETTER UPSILON
0x2635	U+03A6		# GREEK CAPITAL LETTER PHI
0x2636	U+03A7		# GREEK CAPITAL LETTER CHI
0x2637	U+03A8		# GREEK CAPITAL LETTER PSI
0x2638	U+03A9		# GREEK CAPITAL LETTER OMEGA
0x2641	U+03B1		# GREEK SMALL LETTER ALPHA
0x2642	U+03B2		# GREEK SMALL LETTER BETA
0x2643	U+03B3		# GREEK SMALL LETTER GAMMA
0x2644	U+03B4		# GREEK SMALL LETTER DELTA
0x2645	U+03B5		# GREEK SMALL LETTER EPSILON
