#?PETBL/1.0 SOURCE
#?o name="cp20290-ms-2000"
#?o ucm:code_set_alias="cp20290-ms	ms20290	windows20290	windows-20290"
## Source: 2000/08/26  21:00               66,082 c_20290.nls
#?o license="Public Domain"
0x8D	U+FF7C		# HALFWIDTH KATAKANA LETTER SI
0x8E	U+FF7D		# HALFWIDTH KATAKANA LETTER SU
0x8F	U+FF7E		# HALFWIDTH KATAKANA LETTER SE
0x90	U+FF7F		# HALFWIDTH KATAKANA LETTER SO
0x91	U+FF80		# HALFWIDTH KATAKANA LETTER TA
0x92	U+FF81		# HALFWIDTH KATAKANA LETTER TI
0x93	U+FF82		# HALFWIDTH KATAKANA LETTER TU
0x94	U+FF83		# HALFWIDTH KATAKANA LETTER TE
0x95	U+FF84		# HALFWIDTH KATAKANA LETTER TO
0x96	U+FF85		# HALFWIDTH KATAKANA LETTER NA
0x97	U+FF86		# HALFWIDTH KATAKANA LETTER NI
0x98	U+FF87		# HALFWIDTH KATAKANA LETTER NU
0x99	U+FF88		# HALFWIDTH KATAKANA LETTER NE
0x9A	U+FF89		# HALFWIDTH KATAKANA LETTER NO
0x9B	U+0072		# LATIN SMALL LETTER R
0x9B	U+FF52	<-	# FULLWIDTH LATIN SMALL LETTER R
0x9C	U+001A	->	# <control>
0x9D	U+FF8A		# HALFWIDTH KATAKANA LETTER HA
0x9E	U+FF8B		# HALFWIDTH KATAKANA LETTER HI
0x9F	U+FF8C		# HALFWIDTH KATAKANA LETTER HU
0xA0	U+007E		# TILDE
0xA0	U+FF5E	<-	# FULLWIDTH TILDE
0xA1	U+203E		# OVERLINE
0xA2	U+FF8D		# HALFWIDTH KATAKANA LETTER HE
0xA3	U+FF8E		# HALFWIDTH KATAKANA LETTER HO
0xA4	U+FF8F		# HALFWIDTH KATAKANA LETTER MA
0xA5	U+FF90		# HALFWIDTH KATAKANA LETTER MI
0xA6	U+FF91		# HALFWIDTH KATAKANA LETTER MU
0xA7	U+FF92		# HALFWIDTH KATAKANA LETTER ME
0xA8	U+FF93		# HALFWIDTH KATAKANA LETTER MO
0xA9	U+FF94		# HALFWIDTH KATAKANA LETTER YA
0xAA	U+FF95		# HALFWIDTH KATAKANA LETTER YU
0xAB	U+0073		# LATIN SMALL LETTER S
0xAB	U+FF53	<-	# FULLWIDTH LATIN SMALL LETTER S
0xAC	U+FF96		# HALFWIDTH KATAKANA LETTER YO
0xAD	U+FF97		# HALFWIDTH KATAKANA LETTER RA
0xAE	U+FF98		# HALFWIDTH KATAKANA LETTER RI
0xAF	U+FF99		# HALFWIDTH KATAKANA LETTER RU
0xB0	U+005E		# CIRCUMFLEX ACCENT
0xB0	U+FF3E	<-	# FULLWIDTH CIRCUMFLEX ACCENT
0xB1	U+00A2		# CENT SIGN
0xB2	U+005C		# REVERSE SOLIDUS
0xB2	U+FF3C	<-	# FULLWIDTH REVERSE SOLIDUS
0xB3	U+0074		# LATIN SMALL LETTER T
0xB3	U+FF54	<-	# FULLWIDTH LATIN SMALL LETTER T
0xB4	U+0075		# LATIN SMALL LETTER U
